incident_number,station_code,assignment_role,dispatched_at,cleared_at
INC-20250813-000001,STA-085,Water Tender,2025-08-13T22:37:39+00:00,2025-08-14T06:44:39+00:00
INC-20250924-000002,STA-089,Primary Engine,2025-09-24T23:00:33+00:00,2025-09-25T01:35:33+00:00
INC-20250924-000002,STA-062,Rescue Squad,2025-09-24T22:59:33+00:00,2025-09-25T01:04:33+00:00
INC-20241213-000003,STA-050,Ladder Truck,2024-12-13T05:37:33+00:00,2024-12-13T14:12:33+00:00
INC-20241213-000003,STA-023,Battalion Chief,2024-12-13T05:37:33+00:00,2024-12-13T13:47:33+00:00
INC-20250920-000004,STA-019,Primary Engine,2025-09-20T23:49:46+00:00,2025-09-21T01:43:46+00:00
INC-20240925-000005,STA-051,Battalion Chief,2024-09-25T00:20:27+00:00,2024-09-25T02:35:27+00:00
INC-20240925-000005,STA-066,Primary Engine,2024-09-25T00:19:27+00:00,2024-09-25T02:23:27+00:00
INC-20250926-000006,STA-051,Ladder Truck,2025-09-26T04:11:33+00:00,2025-09-26T12:37:33+00:00
INC-20250926-000006,STA-015,Hazmat Unit,2025-09-26T04:07:33+00:00,2025-09-26T12:24:33+00:00
INC-20240903-000007,STA-026,Primary Engine,2024-09-03T19:05:32+00:00,2024-09-04T02:58:32+00:00
INC-20240903-000007,STA-095,Ladder Truck,2024-09-03T19:05:32+00:00,2024-09-04T02:48:32+00:00
INC-20240903-000007,STA-050,Primary Engine,2024-09-03T19:09:32+00:00,2024-09-04T02:49:32+00:00
INC-20250409-000008,STA-038,Ladder Truck,2025-04-09T19:02:49+00:00,2025-04-09T22:52:49+00:00
INC-20250409-000008,STA-012,Hazmat Unit,2025-04-09T19:02:49+00:00,2025-04-09T22:52:49+00:00
INC-20230501-000009,STA-048,Battalion Chief,2023-05-01T20:05:12+00:00,2023-05-02T01:44:12+00:00
INC-20230501-000009,STA-081,Water Tender,2023-05-01T20:05:12+00:00,2023-05-02T01:47:12+00:00
INC-20241230-000010,STA-070,Water Tender,2024-12-30T17:38:00+00:00,2024-12-30T23:40:00+00:00
INC-20241230-000010,STA-001,Primary Engine,2024-12-30T17:38:00+00:00,2024-12-30T23:34:00+00:00
INC-20231201-000011,STA-047,Battalion Chief,2023-12-01T21:41:59+00:00,2023-12-02T02:16:59+00:00
INC-20250522-000012,STA-041,Ladder Truck,2025-05-22T05:40:54+00:00,2025-05-22T07:53:54+00:00
INC-20250130-000013,STA-023,Water Tender,2025-01-30T08:19:03+00:00,2025-01-30T15:57:03+00:00
INC-20250130-000013,STA-003,Ladder Truck,2025-01-30T08:21:03+00:00,2025-01-30T15:43:03+00:00
INC-20250130-000013,STA-041,Hazmat Unit,2025-01-30T08:22:03+00:00,2025-01-30T15:49:03+00:00
INC-20241127-000014,STA-088,Water Tender,2024-11-27T11:59:17+00:00,2024-11-27T13:46:17+00:00
INC-20241127-000014,STA-018,Primary Engine,2024-11-27T12:00:17+00:00,2024-11-27T13:44:17+00:00
INC-20241127-000014,STA-023,Ladder Truck,2024-11-27T11:58:17+00:00,2024-11-27T14:06:17+00:00
INC-20250922-000015,STA-080,Water Tender,2025-09-22T02:07:10+00:00,2025-09-22T09:17:10+00:00
INC-20250922-000015,STA-023,Hazmat Unit,2025-09-22T02:07:10+00:00,2025-09-22T09:29:10+00:00
INC-20240115-000016,STA-100,Battalion Chief,2024-01-15T20:42:07+00:00,2024-01-16T02:52:07+00:00
INC-20240115-000016,STA-075,Battalion Chief,2024-01-15T20:40:07+00:00,2024-01-16T02:15:07+00:00
INC-20240309-000017,STA-095,Ladder Truck,2024-03-09T06:00:32+00:00,2024-03-09T09:42:32+00:00
INC-20240309-000017,STA-100,Water Tender,2024-03-09T06:01:32+00:00,2024-03-09T09:41:32+00:00
INC-20240309-000017,STA-077,Primary Engine,2024-03-09T06:01:32+00:00,2024-03-09T09:47:32+00:00
INC-20250409-000018,STA-040,Primary Engine,2025-04-09T13:34:21+00:00,2025-04-09T16:19:21+00:00
INC-20231006-000019,STA-067,Water Tender,2023-10-06T01:37:42+00:00,2023-10-06T02:46:42+00:00
INC-20250126-000020,STA-077,Primary Engine,2025-01-26T22:46:24+00:00,2025-01-27T04:40:24+00:00
INC-20230118-000021,STA-063,Ladder Truck,2023-01-18T05:29:14+00:00,2023-01-18T07:57:14+00:00
INC-20230601-000022,STA-071,Water Tender,2023-06-01T11:51:34+00:00,2023-06-01T17:40:34+00:00
INC-20230601-000022,STA-096,Primary Engine,2023-06-01T11:52:34+00:00,2023-06-01T17:44:34+00:00
INC-20230519-000023,STA-093,Primary Engine,2023-05-19T04:23:19+00:00,2023-05-19T05:35:19+00:00
INC-20230519-000023,STA-022,Water Tender,2023-05-19T04:22:19+00:00,2023-05-19T05:47:19+00:00
INC-20230519-000023,STA-095,Battalion Chief,2023-05-19T04:24:19+00:00,2023-05-19T05:56:19+00:00
INC-20250404-000024,STA-051,Water Tender,2025-04-04T05:09:31+00:00,2025-04-04T07:06:31+00:00
INC-20250404-000024,STA-067,Rescue Squad,2025-04-04T05:07:31+00:00,2025-04-04T06:46:31+00:00
INC-20250404-000024,STA-026,Battalion Chief,2025-04-04T05:07:31+00:00,2025-04-04T07:04:31+00:00
INC-20250215-000025,STA-099,Hazmat Unit,2025-02-15T07:03:04+00:00,2025-02-15T15:10:04+00:00
INC-20250206-000026,STA-020,Battalion Chief,2025-02-06T10:24:56+00:00,2025-02-06T17:55:56+00:00
INC-20240512-000027,STA-055,Primary Engine,2024-05-12T22:04:38+00:00,2024-05-12T23:41:38+00:00
INC-20240512-000027,STA-070,Water Tender,2024-05-12T22:03:38+00:00,2024-05-12T23:39:38+00:00
INC-20240512-000027,STA-033,Ladder Truck,2024-05-12T22:04:38+00:00,2024-05-12T23:18:38+00:00
INC-20250125-000028,STA-012,Battalion Chief,2025-01-25T15:38:00+00:00,2025-01-25T19:54:00+00:00
INC-20250125-000028,STA-030,Hazmat Unit,2025-01-25T15:38:00+00:00,2025-01-25T19:54:00+00:00
INC-20250210-000029,STA-047,Water Tender,2025-02-10T20:20:54+00:00,2025-02-11T00:16:54+00:00
INC-20250210-000029,STA-051,Battalion Chief,2025-02-10T20:22:54+00:00,2025-02-11T00:34:54+00:00
INC-20241203-000030,STA-021,Hazmat Unit,2024-12-03T10:13:23+00:00,2024-12-03T11:49:23+00:00
INC-20230429-000031,STA-013,Water Tender,2023-04-29T08:22:33+00:00,2023-04-29T13:29:33+00:00
INC-20250127-000032,STA-040,Water Tender,2025-01-27T22:05:30+00:00,2025-01-28T05:41:30+00:00
INC-20250127-000032,STA-052,Hazmat Unit,2025-01-27T22:05:30+00:00,2025-01-28T05:31:30+00:00
INC-20250127-000032,STA-063,Battalion Chief,2025-01-27T22:07:30+00:00,2025-01-28T06:00:30+00:00
INC-20240629-000033,STA-006,Battalion Chief,2024-06-29T16:47:25+00:00,2024-06-30T01:10:25+00:00
INC-20240629-000033,STA-098,Hazmat Unit,2024-06-29T16:49:25+00:00,2024-06-30T00:43:25+00:00
INC-20240629-000033,STA-028,Ladder Truck,2024-06-29T16:47:25+00:00,2024-06-30T00:49:25+00:00
INC-20241225-000034,STA-058,Hazmat Unit,2024-12-25T22:05:57+00:00,2024-12-26T02:47:57+00:00
INC-20241225-000034,STA-098,Battalion Chief,2024-12-25T22:03:57+00:00,2024-12-26T02:37:57+00:00
INC-20250223-000035,STA-083,Water Tender,2025-02-23T10:49:47+00:00,2025-02-23T19:08:47+00:00
INC-20230102-000036,STA-063,Rescue Squad,2023-01-02T17:00:20+00:00,2023-01-02T19:00:20+00:00
INC-20230102-000036,STA-034,Battalion Chief,2023-01-02T17:03:20+00:00,2023-01-02T18:59:20+00:00
INC-20230102-000036,STA-070,Rescue Squad,2023-01-02T17:01:20+00:00,2023-01-02T18:55:20+00:00
INC-20250626-000037,STA-018,Rescue Squad,2025-06-26T09:55:39+00:00,2025-06-26T11:01:39+00:00
INC-20250816-000038,STA-074,Water Tender,2025-08-16T03:20:22+00:00,2025-08-16T05:57:22+00:00
INC-20251029-000039,STA-051,Water Tender,2025-10-29T08:35:36+00:00,2025-10-29T13:50:36+00:00
INC-20251029-000039,STA-029,Water Tender,2025-10-29T08:38:36+00:00,2025-10-29T13:35:36+00:00
INC-20241228-000040,STA-058,Rescue Squad,2024-12-28T13:27:15+00:00,2024-12-28T14:22:15+00:00
INC-20250609-000041,STA-001,Rescue Squad,2025-06-09T10:06:50+00:00,2025-06-09T12:08:50+00:00
INC-20250609-000041,STA-033,Hazmat Unit,2025-06-09T10:03:50+00:00,2025-06-09T12:08:50+00:00
INC-20241205-000042,STA-053,Water Tender,2024-12-05T02:01:23+00:00,2024-12-05T06:12:23+00:00
INC-20241205-000042,STA-062,Battalion Chief,2024-12-05T02:01:23+00:00,2024-12-05T06:18:23+00:00
INC-20250928-000043,STA-048,Primary Engine,2025-09-28T02:25:29+00:00,2025-09-28T07:07:29+00:00
INC-20250928-000043,STA-085,Primary Engine,2025-09-28T02:25:29+00:00,2025-09-28T07:04:29+00:00
INC-20250203-000044,STA-019,Battalion Chief,2025-02-03T13:49:18+00:00,2025-02-03T16:56:18+00:00
INC-20250203-000044,STA-055,Rescue Squad,2025-02-03T13:52:18+00:00,2025-02-03T17:26:18+00:00
INC-20250203-000044,STA-030,Rescue Squad,2025-02-03T13:53:18+00:00,2025-02-03T17:05:18+00:00
INC-20250408-000045,STA-074,Rescue Squad,2025-04-08T20:06:33+00:00,2025-04-09T00:40:33+00:00
INC-20250408-000045,STA-018,Primary Engine,2025-04-08T20:07:33+00:00,2025-04-09T00:54:33+00:00
INC-20250726-000046,STA-032,Water Tender,2025-07-26T02:56:06+00:00,2025-07-26T05:21:06+00:00
INC-20231109-000047,STA-020,Water Tender,2023-11-09T20:44:34+00:00,2023-11-09T21:59:34+00:00
INC-20231109-000047,STA-097,Ladder Truck,2023-11-09T20:44:34+00:00,2023-11-09T21:24:34+00:00
INC-20231109-000047,STA-027,Primary Engine,2023-11-09T20:42:34+00:00,2023-11-09T21:52:34+00:00
INC-20240803-000048,STA-027,Ladder Truck,2024-08-03T14:18:53+00:00,2024-08-03T19:36:53+00:00
INC-20240803-000048,STA-009,Ladder Truck,2024-08-03T14:17:53+00:00,2024-08-03T19:41:53+00:00
INC-20230202-000049,STA-092,Battalion Chief,2023-02-02T07:36:56+00:00,2023-02-02T12:26:56+00:00
INC-20230202-000049,STA-036,Water Tender,2023-02-02T07:33:56+00:00,2023-02-02T12:23:56+00:00
INC-20230202-000049,STA-084,Rescue Squad,2023-02-02T07:35:56+00:00,2023-02-02T12:09:56+00:00
INC-20250815-000050,STA-012,Ladder Truck,2025-08-15T12:59:58+00:00,2025-08-15T17:57:58+00:00
INC-20250913-000051,STA-089,Water Tender,2025-09-13T07:30:04+00:00,2025-09-13T15:51:04+00:00
INC-20250913-000051,STA-055,Rescue Squad,2025-09-13T07:31:04+00:00,2025-09-13T15:48:04+00:00
INC-20241231-000052,STA-031,Battalion Chief,2024-12-31T14:23:06+00:00,2024-12-31T19:44:06+00:00
INC-20250207-000053,STA-053,Primary Engine,2025-02-07T04:52:23+00:00,2025-02-07T09:00:23+00:00
INC-20250207-000053,STA-082,Water Tender,2025-02-07T04:52:23+00:00,2025-02-07T09:16:23+00:00
INC-20251031-000054,STA-082,Hazmat Unit,2025-10-31T01:03:17+00:00,2025-10-31T09:10:17+00:00
INC-20240121-000055,STA-021,Battalion Chief,2024-01-21T09:26:54+00:00,2024-01-21T13:21:54+00:00
INC-20240121-000055,STA-086,Rescue Squad,2024-01-21T09:27:54+00:00,2024-01-21T13:20:54+00:00
INC-20241128-000056,STA-091,Water Tender,2024-11-28T08:12:57+00:00,2024-11-28T14:15:57+00:00
INC-20241128-000056,STA-092,Ladder Truck,2024-11-28T08:12:57+00:00,2024-11-28T14:08:57+00:00
INC-20241128-000056,STA-067,Rescue Squad,2024-11-28T08:11:57+00:00,2024-11-28T14:03:57+00:00
INC-20241106-000057,STA-060,Ladder Truck,2024-11-06T08:47:10+00:00,2024-11-06T13:20:10+00:00
INC-20241106-000057,STA-080,Ladder Truck,2024-11-06T08:48:10+00:00,2024-11-06T13:33:10+00:00
INC-20241106-000057,STA-090,Primary Engine,2024-11-06T08:46:10+00:00,2024-11-06T13:27:10+00:00
INC-20250710-000058,STA-091,Battalion Chief,2025-07-10T16:12:03+00:00,2025-07-10T19:35:03+00:00
INC-20250710-000058,STA-061,Water Tender,2025-07-10T16:12:03+00:00,2025-07-10T20:07:03+00:00
INC-20250710-000058,STA-032,Rescue Squad,2025-07-10T16:12:03+00:00,2025-07-10T20:03:03+00:00
INC-20250207-000059,STA-036,Water Tender,2025-02-07T02:39:43+00:00,2025-02-07T10:51:43+00:00
INC-20250207-000059,STA-067,Ladder Truck,2025-02-07T02:39:43+00:00,2025-02-07T10:44:43+00:00
INC-20250207-000059,STA-021,Primary Engine,2025-02-07T02:40:43+00:00,2025-02-07T11:04:43+00:00
INC-20250822-000060,STA-019,Rescue Squad,2025-08-22T18:21:07+00:00,2025-08-23T03:01:07+00:00
INC-20250822-000060,STA-015,Water Tender,2025-08-22T18:20:07+00:00,2025-08-23T02:35:07+00:00
INC-20250502-000061,STA-056,Water Tender,2025-05-02T11:43:24+00:00,2025-05-02T18:34:24+00:00
